"reactor_id","storage_condition","RNase_treated","day","target","concentration_technical_average","concentration_technical_standard_deviation","concentration_units","experiment_manuscript_label"
"20A2F",20,"N",0,"HuNoV_culture",1060833.33333333,1016366.3627518,"gc.ml","20-1"
"20A2F",20,"N",1,"HuNoV_culture",500046.666666667,770724.227291016,"gc.ml","20-1"
"20A2F",20,"N",7,"HuNoV_culture",59933.3333333333,31069.1701423346,"gc.ml","20-1"
"20A3F",20,"N",0,"HuNoV_culture",3351000,2617988.34985949,"gc.ml","20-2"
"20A3F",20,"N",1,"HuNoV_culture",853666.666666667,651905.156700983,"gc.ml","20-2"
"20A3F",20,"N",14,"HuNoV_culture",86703.3333333333,20439.0076406203,"gc.ml","20-2"
"20A3F",20,"N",21,"HuNoV_culture",44483.3333333333,5387.69276530625,"gc.ml","20-2"
"20A3F",20,"N",28,"HuNoV_culture",13400,0,"gc.ml","20-2"
"20A3F",20,"N",7,"HuNoV_culture",336283.333333333,177714.070442757,"gc.ml","20-2"
"20A4F",20,"N",0,"HuNoV_culture",9863333.33333333,14235119.7161574,"gc.ml","20-2"
"20A4F",20,"N",1,"HuNoV_culture",178233.333333333,127154.48609205,"gc.ml","20-2"
"20A4F",20,"N",14,"HuNoV_culture",62410,18031.2589688019,"gc.ml","20-2"
"20A4F",20,"N",21,"HuNoV_culture",18566.6666666667,8948.9291724392,"gc.ml","20-2"
"20A4F",20,"N",28,"HuNoV_culture",13400,0,"gc.ml","20-2"
"20A4F",20,"N",7,"HuNoV_culture",483406.666666667,81232.8513184988,"gc.ml","20-2"
